日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-08-19,'600519,贵州茅台,1895.01,1908.35,1888.0,1898.0,1895.5,-0.49,-0.0259,0.1078,1354417,2572000762.0,2.38050739298e+12,2.38050739298e+12
2022-08-18,'600519,贵州茅台,1895.5,1913.08,1881.07,1908.0,1918.0,-22.5,-1.1731,0.1844,2316777,4384060205.0,2.3811229299e+12,2.3811229299e+12
2022-08-17,'600519,贵州茅台,1918.0,1930.0,1895.0,1930.0,1917.84,0.16,0.0083,0.1462,1836063,3508295541.0,2.4093873804e+12,2.4093873804e+12
2022-08-16,'600519,贵州茅台,1917.84,1933.79,1916.0,1923.94,1919.89,-2.05,-0.1068,0.1181,1483584,2854189586.0,2.40918638875e+12,2.40918638875e+12
2022-08-15,'600519,贵州茅台,1919.89,1939.5,1915.55,1920.46,1928.0,-8.11,-0.4206,0.1538,1932314,3717178491.0,2.41176159424e+12,2.41176159424e+12
2022-08-12,'600519,贵州茅台,1928.0,1930.0,1900.0,1906.9,1906.9,21.1,1.1065,0.1613,2025983,3882570566.0,2.4219493584e+12,2.4219493584e+12
2022-08-11,'600519,贵州茅台,1906.9,1907.0,1878.01,1886.0,1876.0,30.9,1.6471,0.2075,2606149,4940834195.0,2.39544358482e+12,2.39544358482e+12
2022-08-10,'600519,贵州茅台,1876.0,1918.0,1864.58,1909.98,1910.0,-34.0,-1.7801,0.2223,2792662,5259452686.0,2.3566270728e+12,2.3566270728e+12
2022-08-09,'600519,贵州茅台,1910.0,1918.99,1905.0,1911.53,1911.53,-1.53,-0.08,0.1104,1387461,2651800008.0,2.399337798e+12,2.399337798e+12
2022-08-08,'600519,贵州茅台,1911.53,1932.88,1907.51,1915.15,1923.96,-12.43,-0.6461,0.1337,1679901,3220702892.0,2.40125978063e+12,2.40125978063e+12
2022-08-05,'600519,贵州茅台,1923.96,1935.0,1904.9,1927.8,1916.01,7.95,0.4149,0.1599,2008584,3857406327.0,2.41687431929e+12,2.41687431929e+12
2022-08-04,'600519,贵州茅台,1916.01,1923.1,1880.13,1890.0,1885.0,31.01,1.6451,0.2417,3035714,5797110733.0,2.40688754678e+12,2.40688754678e+12
2022-08-03,'600519,贵州茅台,1885.0,1904.0,1877.0,1889.99,1879.98,5.02,0.267,0.1958,2459842,4642442196.0,2.367932853e+12,2.367932853e+12
2022-08-02,'600519,贵州茅台,1879.98,1887.98,1858.01,1880.0,1890.3,-10.32,-0.5459,0.2247,2822088,5284516568.0,2.36162674004e+12,2.36162674004e+12
2022-08-01,'600519,贵州茅台,1890.3,1908.0,1881.18,1890.01,1898.44,-8.14,-0.4288,0.1675,2103741,3988198590.0,2.37459070134e+12,2.37459070134e+12
2022-07-29,'600519,贵州茅台,1898.44,1918.99,1878.1,1895.1,1898.0,0.44,0.0232,0.2948,3703236,7028415881.0,2.38481615143e+12,2.38481615143e+12
2022-07-28,'600519,贵州茅台,1898.0,1938.0,1892.66,1921.1,1919.6,-21.6,-1.1252,0.2776,3486986,6669448409.0,2.3842634244e+12,2.3842634244e+12
2022-07-27,'600519,贵州茅台,1919.6,1948.0,1917.0,1942.0,1950.21,-30.61,-1.5696,0.1711,2148987,4149807166.0,2.41139729688e+12,2.41139729688e+12
2022-07-26,'600519,贵州茅台,1950.21,1964.97,1947.02,1952.99,1944.65,5.56,0.2859,0.1647,2068510,4041100077.0,2.44984951154e+12,2.44984951154e+12
2022-07-25,'600519,贵州茅台,1944.65,1952.3,1931.0,1949.51,1947.0,-2.35,-0.1207,0.1346,1691244,3285451347.0,2.44286505177e+12,2.44286505177e+12
2022-07-22,'600519,贵州茅台,1947.0,1962.0,1935.0,1949.22,1939.0,8.0,0.4126,0.1999,2511357,4894378605.0,2.4458171166e+12,2.4458171166e+12
2022-07-21,'600519,贵州茅台,1939.0,1955.9,1934.51,1943.1,1950.1,-11.1,-0.5692,0.1119,1406137,2735503093.0,2.4357675342e+12,2.4357675342e+12
2022-07-20,'600519,贵州茅台,1950.1,1970.0,1945.0,1958.75,1943.1,7.0,0.3602,0.1489,1870461,3659970961.0,2.44971132978e+12,2.44971132978e+12
