日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-08-19,'601658,邮储银行,4.52,4.54,4.49,4.5,4.51,0.01,0.2217,0.7962,89763062,406083251.0,4.17575533575e+11,50960565609.4
2022-08-18,'601658,邮储银行,4.51,4.53,4.49,4.52,4.54,-0.03,-0.6608,0.7807,88023965,396956078.0,4.16651693899e+11,50847820995.2
2022-08-17,'601658,邮储银行,4.54,4.55,4.49,4.53,4.53,0.01,0.2208,0.8611,97088717,439162941.0,4.19423212927e+11,51186054837.7
2022-08-16,'601658,邮储银行,4.53,4.54,4.51,4.52,4.52,0.01,0.2212,0.5815,65558685,296469769.0,4.18499373251e+11,51073310223.5
2022-08-15,'601658,邮储银行,4.52,4.56,4.51,4.53,4.56,-0.04,-0.8772,0.8837,99626968,451165020.0,4.17575533575e+11,50960565609.4
2022-08-12,'601658,邮储银行,4.56,4.58,4.53,4.56,4.57,-0.01,-0.2188,0.7048,79463171,362031892.0,4.21270892279e+11,51411544066.1
2022-08-11,'601658,邮储银行,4.57,4.58,4.5,4.52,4.5,0.07,1.5556,0.9784,110306890,501477592.0,4.22194731955e+11,51524288680.3
2022-08-10,'601658,邮储银行,4.5,4.53,4.48,4.52,4.51,-0.01,-0.2217,0.4952,55831840,251323102.0,4.15727854222e+11,50735076381.0
2022-08-09,'601658,邮储银行,4.51,4.55,4.5,4.54,4.54,-0.03,-0.6608,0.6057,68292915,308513449.0,4.16651693899e+11,50847820995.2
2022-08-08,'601658,邮储银行,4.54,4.59,4.52,4.55,4.57,-0.03,-0.6565,0.6722,75791929,344390659.0,4.19423212927e+11,51186054837.7
2022-08-05,'601658,邮储银行,4.57,4.57,4.49,4.52,4.52,0.05,1.1062,0.7279,82066951,372115175.0,4.22194731955e+11,51524288680.3
2022-08-04,'601658,邮储银行,4.52,4.54,4.46,4.53,4.51,0.01,0.2217,1.0845,122266343,550043672.0,4.17575533575e+11,50960565609.4
2022-08-03,'601658,邮储银行,4.51,4.59,4.51,4.57,4.58,-0.07,-1.5284,1.0239,115437761,524134289.0,4.16651693899e+11,50847820995.2
2022-08-02,'601658,邮储银行,4.58,4.66,4.52,4.65,4.67,-0.09,-1.9272,1.3051,147147497,671894078.0,4.23118571631e+11,51637033294.4
2022-08-01,'601658,邮储银行,4.67,4.7,4.65,4.7,4.69,-0.02,-0.4264,0.8944,100838485,470487636.0,4.31433128715e+11,52651734822.1
2022-07-29,'601658,邮储银行,4.69,4.76,4.68,4.75,4.75,-0.06,-1.2632,1.107,124809048,587883161.0,4.33280808067e+11,52877224050.4
2022-07-28,'601658,邮储银行,4.75,4.79,4.74,4.78,4.77,-0.02,-0.4193,0.6722,75781578,360997344.0,4.38823846124e+11,53553691735.5
2022-07-27,'601658,邮储银行,4.77,4.8,4.75,4.79,4.8,-0.03,-0.625,0.5225,58912135,280779984.0,4.40671525476e+11,53779180963.9
2022-07-26,'601658,邮储银行,4.8,4.81,4.76,4.78,4.79,0.01,0.2088,0.6251,70479858,337562443.0,4.43443044504e+11,54117414806.4
2022-07-25,'601658,邮储银行,4.79,4.79,4.7,4.72,4.73,0.06,1.2685,0.7904,89111178,423882606.0,4.42519204828e+11,54004670192.2
2022-07-22,'601658,邮储银行,4.73,4.76,4.66,4.73,4.72,0.01,0.2119,0.8159,91993882,434084858.0,4.36976166772e+11,53328202507.1
2022-07-21,'601658,邮储银行,4.72,4.8,4.72,4.8,4.81,-0.09,-1.8711,0.8323,93842271,445380301.0,4.36052327096e+11,53215457893.0
2022-07-20,'601658,邮储银行,4.81,4.82,4.78,4.8,4.78,0.03,0.6276,0.7099,80034462,384731763.0,4.4436688418e+11,54230159420.6
2022-07-19,'601658,邮储银行,4.78,4.81,4.73,4.75,4.75,0.03,0.6316,0.9285,104678446,499579640.0,4.41595365152e+11,53891925578.0
2022-07-18,'601658,邮储银行,4.75,4.75,4.67,4.68,4.66,0.09,1.9313,1.2736,143587253,678392565.0,4.38823846124e+11,53553691735.5
2022-07-15,'601658,邮储银行,4.66,4.76,4.65,4.75,4.72,-0.06,-1.2712,1.9941,224824276,1059830501.0,4.30509289039e+11,52538990207.9
2022-07-14,'601658,邮储银行,4.72,4.84,4.67,4.84,4.9,-0.18,-3.6735,3.1961,360341968,1703080741.0,4.36052327096e+11,53215457893.0
2022-07-13,'601658,邮储银行,4.9,5.1,4.89,5.09,5.09,-0.19,-3.7328,2.167,244316073,1211692821.0,4.52681441264e+11,55244860948.2
2022-07-12,'601658,XD邮储银,5.09,5.18,5.06,5.07,5.04,0.05,0.9921,1.2292,138586478,707804596.0,4.70234395109e+11,57387008617.6
2022-07-11,'601658,邮储银行,5.29,5.31,5.26,5.28,5.3,-0.01,-0.1887,1.085,122323853,645887256.0,4.8871118863e+11,59641900901.2
2022-07-08,'601658,邮储银行,5.3,5.32,5.24,5.31,5.29,0.01,0.189,0.8907,100418426,530351300.0,4.89635028306e+11,59754645515.4
2022-07-07,'601658,邮储银行,5.29,5.34,5.27,5.34,5.33,-0.04,-0.7505,0.5852,65972988,349630466.0,4.8871118863e+11,59641900901.2
2022-07-06,'601658,邮储银行,5.33,5.37,5.28,5.35,5.36,-0.03,-0.5597,0.8071,90991430,483869900.0,4.92406547335e+11,60092879357.9
2022-07-05,'601658,邮储银行,5.36,5.4,5.31,5.32,5.32,0.04,0.7519,0.83,93577565,500736581.0,4.95178066363e+11,60431113200.5
2022-07-04,'601658,邮储银行,5.32,5.36,5.27,5.36,5.35,-0.03,-0.5607,1.0201,115008034,610206408.0,4.91482707659e+11,59980134743.8
2022-07-01,'601658,邮储银行,5.35,5.44,5.35,5.39,5.39,-0.04,-0.7421,0.8021,90434288,486614522.0,4.94254226687e+11,60318368586.3
2022-06-30,'601658,邮储银行,5.39,5.4,5.31,5.32,5.32,0.07,1.3158,1.2689,143056214,767597319.0,4.97949585391e+11,60769347043.0
2022-06-29,'601658,邮储银行,5.32,5.35,5.25,5.27,5.28,0.04,0.7576,1.2908,145528481,774578305.0,4.91482707659e+11,59980134743.8
2022-06-28,'601658,邮储银行,5.28,5.29,5.19,5.22,5.2,0.08,1.5385,1.4738,166162842,872647672.0,4.87787348954e+11,59529156287.0
2022-06-27,'601658,邮储银行,5.2,5.21,5.15,5.17,5.15,0.05,0.9709,1.6893,190457572,988709784.0,4.80396631546e+11,58627199373.6
2022-06-24,'601658,邮储银行,5.15,5.19,5.11,5.18,5.17,-0.02,-0.3868,1.4259,160766063,825745119.0,4.75777433166e+11,58063476302.7
