日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-08-19,'600028,中国石化,4.14,4.16,4.12,4.13,4.13,0.01,0.2421,0.0997,95303641,395305523.0,5.01234807934e+11,3.9560917213e+11
2022-08-18,'600028,中国石化,4.13,4.16,4.12,4.15,4.15,-0.02,-0.4819,0.065,62109166,256538918.0,5.00024095838e+11,3.9465359442e+11
2022-08-17,'600028,中国石化,4.15,4.15,4.12,4.13,4.12,0.03,0.7282,0.063,60194626,249205034.0,5.02445520031e+11,3.96564749841e+11
2022-08-16,'600028,中国石化,4.12,4.13,4.11,4.13,4.14,-0.02,-0.4831,0.0567,54210381,223573533.0,4.98813383742e+11,3.9369801671e+11
2022-08-15,'600028,中国石化,4.14,4.15,4.11,4.13,4.15,-0.01,-0.241,0.0928,88645969,366234309.0,5.01234807934e+11,3.9560917213e+11
2022-08-12,'600028,中国石化,4.15,4.16,4.14,4.14,4.14,0.01,0.2415,0.1014,96861479,402085027.0,5.02445520031e+11,3.96564749841e+11
2022-08-11,'600028,中国石化,4.14,4.14,4.12,4.13,4.11,0.03,0.7299,0.0742,70941297,292997814.0,5.01234807934e+11,3.9560917213e+11
2022-08-10,'600028,中国石化,4.11,4.13,4.09,4.11,4.11,0.0,0.0,0.0632,60379213,248212884.0,4.97602671645e+11,3.92742438999e+11
2022-08-09,'600028,中国石化,4.11,4.12,4.09,4.11,4.1,0.01,0.2439,0.0637,60893659,250073830.0,4.97602671645e+11,3.92742438999e+11
2022-08-08,'600028,中国石化,4.1,4.11,4.07,4.08,4.08,0.02,0.4902,0.0627,59881670,245127823.0,4.96391959549e+11,3.91786861289e+11
2022-08-05,'600028,中国石化,4.08,4.09,4.05,4.07,4.07,0.01,0.2457,0.0612,58444934,237827123.0,4.93970535356e+11,3.89875705868e+11
2022-08-04,'600028,中国石化,4.07,4.08,4.05,4.07,4.06,0.01,0.2463,0.0712,68047725,276826493.0,4.92759823259e+11,3.88920128157e+11
2022-08-03,'600028,中国石化,4.06,4.1,4.06,4.07,4.08,-0.02,-0.4902,0.0703,67214451,274174030.0,4.91549111163e+11,3.87964550447e+11
2022-08-02,'600028,中国石化,4.08,4.1,4.04,4.09,4.11,-0.03,-0.7299,0.153,146218040,594987785.0,4.93970535356e+11,3.89875705868e+11
2022-08-01,'600028,中国石化,4.11,4.13,4.1,4.12,4.11,0.0,0.0,0.0877,83788149,344651945.0,4.97602671645e+11,3.92742438999e+11
2022-07-29,'600028,中国石化,4.11,4.16,4.11,4.13,4.12,-0.01,-0.2427,0.1114,106497903,440081141.0,4.97602671645e+11,3.92742438999e+11
2022-07-28,'600028,中国石化,4.12,4.13,4.11,4.12,4.1,0.02,0.4878,0.0717,68481426,282449704.0,4.98813383742e+11,3.9369801671e+11
2022-07-27,'600028,中国石化,4.1,4.13,4.1,4.12,4.12,-0.02,-0.4854,0.0607,57986417,238612341.0,4.96391959549e+11,3.91786861289e+11
2022-07-26,'600028,中国石化,4.12,4.13,4.1,4.11,4.1,0.02,0.4878,0.0789,75384617,310557066.0,4.98813383742e+11,3.9369801671e+11
2022-07-25,'600028,中国石化,4.1,4.11,4.09,4.11,4.11,-0.01,-0.2433,0.0548,52336138,214658240.0,4.96391959549e+11,3.91786861289e+11
2022-07-22,'600028,中国石化,4.11,4.12,4.08,4.09,4.09,0.02,0.489,0.0704,67238419,275955891.0,4.97602671645e+11,3.92742438999e+11
2022-07-21,'600028,中国石化,4.09,4.12,4.08,4.1,4.1,-0.01,-0.2439,0.0947,90476655,370819381.0,4.95181247452e+11,3.90831283578e+11
2022-07-20,'600028,中国石化,4.1,4.13,4.1,4.12,4.1,0.0,0.0,0.0706,67447668,277162134.0,4.96391959549e+11,3.91786861289e+11
2022-07-19,'600028,中国石化,4.1,4.12,4.09,4.1,4.1,0.0,0.0,0.0797,76116043,312393408.0,4.96391959549e+11,3.91786861289e+11
2022-07-18,'600028,中国石化,4.1,4.1,4.03,4.04,4.02,0.08,1.99,0.1068,102062516,416252063.0,4.96391959549e+11,3.91786861289e+11
2022-07-15,'600028,中国石化,4.02,4.06,4.02,4.06,4.06,-0.04,-0.9852,0.1009,96402510,389924837.0,4.86706262777e+11,3.84142239605e+11
2022-07-14,'600028,中国石化,4.06,4.08,4.05,4.07,4.07,-0.01,-0.2457,0.0756,72288869,293618866.0,4.91549111163e+11,3.87964550447e+11
2022-07-13,'600028,中国石化,4.07,4.09,4.06,4.08,4.09,-0.02,-0.489,0.0857,81886575,333418183.0,4.92759823259e+11,3.88920128157e+11
2022-07-12,'600028,中国石化,4.09,4.1,4.07,4.08,4.08,0.01,0.2451,0.0619,59110212,241619233.0,4.95181247452e+11,3.90831283578e+11
2022-07-11,'600028,中国石化,4.08,4.09,4.07,4.08,4.08,0.0,0.0,0.0715,68286697,278438340.0,4.93970535356e+11,3.89875705868e+11
2022-07-08,'600028,中国石化,4.08,4.09,4.07,4.08,4.06,0.02,0.4926,0.0537,51291127,209327902.0,4.93970535356e+11,3.89875705868e+11
2022-07-07,'600028,中国石化,4.06,4.08,4.06,4.07,4.07,-0.01,-0.2457,0.0696,66531346,270818135.0,4.91549111163e+11,3.87964550447e+11
2022-07-06,'600028,中国石化,4.07,4.1,4.06,4.09,4.12,-0.05,-1.2136,0.1077,102922544,419383261.0,4.92759823259e+11,3.88920128157e+11
2022-07-05,'600028,中国石化,4.12,4.13,4.09,4.11,4.1,0.02,0.4878,0.1139,108862796,447683512.0,4.98813383742e+11,3.9369801671e+11
2022-07-04,'600028,中国石化,4.1,4.1,4.08,4.09,4.08,0.02,0.4902,0.0674,64414032,263564779.0,4.96391959549e+11,3.91786861289e+11
2022-07-01,'600028,中国石化,4.08,4.09,4.06,4.08,4.08,0.0,0.0,0.0712,68031548,277108267.0,4.93970535356e+11,3.89875705868e+11
2022-06-30,'600028,中国石化,4.08,4.11,4.08,4.09,4.1,-0.02,-0.4878,0.0798,76245597,312249206.0,4.93970535356e+11,3.89875705868e+11
2022-06-29,'600028,中国石化,4.1,4.12,4.09,4.1,4.1,0.0,0.0,0.0889,84986216,348721728.0,4.96391959549e+11,3.91786861289e+11
2022-06-28,'600028,中国石化,4.1,4.11,4.08,4.1,4.1,0.0,0.0,0.0794,75855750,310733166.0,4.96391959549e+11,3.91786861289e+11
2022-06-27,'600028,中国石化,4.1,4.11,4.06,4.07,4.08,0.02,0.4902,0.1161,110950517,454336847.0,4.96391959549e+11,3.91786861289e+11
2022-06-24,'600028,中国石化,4.08,4.09,4.04,4.06,4.07,0.01,0.2457,0.133,127122095,515957597.0,4.93970535356e+11,3.89875705868e+11
2022-06-23,'600028,中国石化,4.07,4.07,4.02,4.02,4.03,0.04,0.9926,0.1147,109567611,443022728.0,4.92759823259e+11,3.88920128157e+11
2022-06-22,'600028,中国石化,4.03,4.09,4.03,4.08,4.07,-0.04,-0.9828,0.1732,165483911,670103024.0,4.87916974873e+11,3.85097817315e+11
2022-06-21,'600028,中国石化,4.07,4.09,4.06,4.07,4.07,0.0,0.0,0.1258,120252287,489629672.0,4.92759823259e+11,3.88920128157e+11
2022-06-20,'600028,中国石化,4.07,4.09,4.05,4.09,4.12,-0.05,-1.2136,0.2102,200890682,816757867.0,4.92759823259e+11,3.88920128157e+11
2022-06-17,'600028,中国石化,4.12,4.14,4.1,4.13,4.14,-0.02,-0.4831,0.1811,173075165,712541828.0,4.98813383742e+11,3.9369801671e+11
2022-06-16,'600028,中国石化,4.14,4.21,4.13,4.2,4.2,-0.06,-1.4286,0.248,236964420,984412158.0,5.01234807934e+11,3.9560917213e+11
2022-06-15,'600028,中国石化,4.2,4.25,4.2,4.22,4.24,-0.04,-0.9434,0.2441,233223766,985284264.0,5.08499080513e+11,4.01342638393e+11
2022-06-14,'600028,中国石化,4.24,4.25,4.14,4.15,4.17,0.07,1.6787,0.246,235045273,986034764.0,5.13341928899e+11,4.05164949235e+11
2022-06-13,'600028,中国石化,4.17,4.23,4.14,4.2,4.23,-0.06,-1.4184,0.2573,245917014,1026616533.0,5.04866944224e+11,3.98475905262e+11
2022-06-10,'600028,XD中国石,4.23,4.24,4.18,4.22,4.21,0.02,0.4751,0.3042,290729222,1222650672.0,5.12131216803e+11,4.04209371525e+11
2022-06-09,'600028,中国石化,4.52,4.56,4.5,4.51,4.51,0.01,0.2217,0.3744,357723608,1621775212.0,5.472418676e+11,4.31921125128e+11
2022-06-08,'600028,中国石化,4.51,4.52,4.46,4.49,4.48,0.03,0.6696,0.2396,228977868,1028076897.0,5.46031155503e+11,4.30965547417e+11
2022-06-07,'600028,中国石化,4.48,4.51,4.42,4.43,4.44,0.04,0.9009,0.2342,223764478,1000069495.0,5.42399019214e+11,4.28098814286e+11
2022-06-06,'600028,中国石化,4.44,4.45,4.4,4.44,4.42,0.02,0.4525,0.2334,222992602,987043049.0,5.37556170828e+11,4.24276503444e+11
2022-06-02,'600028,中国石化,4.42,4.44,4.37,4.39,4.4,0.02,0.4545,0.1768,168931446,743088758.0,5.35134746635e+11,4.22365348023e+11
2022-06-01,'600028,中国石化,4.4,4.45,4.36,4.44,4.46,-0.06,-1.3453,0.2175,207829647,913447433.0,5.32713322442e+11,4.20454192602e+11
2022-05-31,'600028,中国石化,4.46,4.46,4.4,4.4,4.4,0.06,1.3636,0.2205,210737224,935479694.0,5.39977595021e+11,4.26187658865e+11
2022-05-30,'600028,中国石化,4.4,4.44,4.37,4.43,4.41,-0.01,-0.2268,0.1982,189377850,834398536.0,5.32713322442e+11,4.20454192602e+11
2022-05-27,'600028,中国石化,4.41,4.45,4.39,4.41,4.38,0.03,0.6849,0.2486,237600426,1049466089.0,5.33924034539e+11,4.21409770313e+11
2022-05-26,'600028,中国石化,4.38,4.39,4.33,4.35,4.34,0.04,0.9217,0.197,188243063,820260811.0,5.30291898249e+11,4.18543037181e+11
2022-05-25,'600028,中国石化,4.34,4.35,4.28,4.29,4.28,0.06,1.4019,0.1557,148791697,643188784.0,5.25449049864e+11,4.1472072634e+11
2022-05-24,'600028,中国石化,4.28,4.34,4.27,4.32,4.31,-0.03,-0.6961,0.1783,170415458,735326472.0,5.18184777285e+11,4.08987260077e+11
2022-05-23,'600028,中国石化,4.31,4.34,4.3,4.34,4.32,-0.01,-0.2315,0.127,121321337,523731270.0,5.21816913574e+11,4.11853993208e+11
2022-05-20,'600028,中国石化,4.32,4.33,4.29,4.3,4.29,0.03,0.6993,0.1319,126084071,544408793.0,5.23027625671e+11,4.12809570919e+11
2022-05-19,'600028,中国石化,4.29,4.31,4.26,4.27,4.31,-0.02,-0.464,0.1259,120347586,515467137.0,5.19395489381e+11,4.09942837787e+11
